小说名,作者,分类,状态,简介
一念永恒,耳根,仙侠*幻想修仙,连载中,一念成沧海，一念化桑田。一念斩千魔，一念诛万仙。唯我念……永恒这是耳根继《仙逆》《求魔》《我欲封天》后，创作的第四部长篇小说《一念永恒》
圣墟,辰东,玄幻*东方玄幻,连载中,在破败中崛起，在寂灭中复苏。沧海成尘，雷电枯竭，那一缕幽雾又一次临近大地，世间的枷锁被打开了，一个全新的世界就此揭开神秘的一角……
飞剑问道,我吃西红柿,仙侠*古典仙侠,连载中,在这个世界，有狐仙、河神、水怪、大妖，也有求长生的修行者。修行者们，开法眼，可看妖魔鬼怪。炼一口飞剑，可千里杀敌。千里眼、顺风耳，更可探查四方。
修真聊天群,圣骑士的传说,都市*异术超能,连载中,某天，宋书航意外加入了一个仙侠中二病资深患者的交流群，里面的群友们都以‘道友’相称，群名片都是各种府主、洞主、真人、天师。连群主走失的宠物犬都称为大妖犬离家出走。整天聊的是炼丹、闯秘境、炼功经验啥
斗罗大陆III龙王传说,唐家三少,玄幻*异世大陆,连载中,伴随着魂导科技的进步，斗罗大陆上的人类征服了海洋，又发现了两片大陆。魂兽也随着人类魂师的猎杀无度走向灭亡，沉睡无数年的魂兽之王在星斗大森林最后的净土苏醒，它要带领仅存的族人，向人类复仇！
汉乡,孑与2,历史*架空历史,连载中,我们接受了祖先的遗产，这让中华辉煌了数千年，我们是如此的心安理得，从未想过要回归那个在刀耕火种中苦苦寻找出路的时代。反哺我们苦难的祖先，并从中找到故乡的真正意义，将是本书要讲的故事。
牧神记,宅猪,玄幻*东方玄幻,连载中,大墟的祖训说，天黑，别出门。大墟残老村的老弱病残们从江边捡到了一个婴儿，取名秦牧，含辛茹苦将他养大。这一天夜幕降临，黑暗笼罩大墟，秦牧走出了家门……做个春风中荡漾的反派吧！
天道图书馆,横扫天涯,玄幻*异世大陆,连载中,【2017最火玄幻作品，海外点推双榜第一】张悬穿越异界，成了一名光荣的教师，脑海中多出了一个神秘的图书馆。只要他看过的东西，无论人还是物，都能自动形成书籍，记录下对方各种各样的缺点，于
异常生物见闻录,远瞳,科幻*时空穿梭,连载中,郝仁，人如其名，是个好人，理想是平平安安过一辈子，当个穷不死但也发不了财的小房东——起码在他家里住进去一堆神经病生物之前是这样。一栋偏僻陈旧的大屋，一堆不怎么正常的人外生物，还有一份来
大王饶命,会说话的肘子,都市*都市生活,连载中,灵气复苏的时代，寂静生活碎掉了，仿佛雷霆贯穿长空，电光直射天心，雨沙沙地落下。凡逆我们的终将死去，这就是法则。……这是一个吕树依靠毒鸡汤成为大魔王的故事。
极道天魔,滚开,仙侠*修真文明,连载中,妖魔横行，世人苦难。神兵魔刃，遮耀天下。手机上的一款游戏修改器，意外成了路胜脑海里的异能。也成了他在这个黑暗乱世唯一的依靠。~~~~~~~欢迎加入企
奶爸的文艺人生,寒门,都市*娱乐明星,连载中,“粑粑！”刚穿越到平行世界，就看到有个精致可爱的小女孩喊自己爸爸，杨轶表示有些懵逼。好吧，曦曦是百分之百的亲女儿，而孩子她妈居然是高冷绝美的过气歌后。这乐子闹大
我的1979,争斤论两花花帽,都市*都市生活,连载中,一觉醒来，回到70年代，再次面对过往，你猜不透的结局..........
带着仓库到大明,迪巴拉爵士,历史*两宋元明,连载中,方醒穿了，带着两个仓库穿了！别人穿越是带着王霸之气，方醒却是只想种田！“我只想在这个时代悠闲的活着！”坐拥大别墅，顺便教几个弟子，努力让他们往上爬，好给自己当靠
重生之财源滚滚,老鹰吃小鸡,都市*都市生活,连载中,当重生成为一种潮流，李东也幸运地赶上了重生的马车。上辈子遗憾太多，这辈子且让他一一弥补！看小人物重回2004，亲情爱情双丰收，发家致富两不误！（读者群:2506
不朽凡人,鹅是老五,仙侠*幻想修仙,连载中,在这里，拥有灵根才能修仙，所有凡根注定只是凡人。莫无忌，只有凡根，一介凡人！
龙皇武神,步征,都市*异术超能,连载中,都市修仙至尊爽文！渡劫期大修士凌云魂穿都市，仙武同修，丹药、炼器，画符，布阵无所不能，以无敌之姿逆天崛起，脚踩八方！
废土崛起,通吃道人.QD,科幻*时空穿梭,完本,开局一条狗，装备全靠捡。带着新手福利杀进末世将临的世界。发起狠来，核弹都朝自己头上砸！这是废土之王的崛起之路。验证群：669035131。
斗战狂潮,骷髅精灵,仙侠*修真文明,连载中,双月当空，无限可能的英魂世界孤寂黑暗，神秘古怪的嬉命小丑百城联邦，三大帝国，异族横行，魂兽霸幽这是一个英雄辈出的年代，人类卧薪尝胆重掌地球主权，孕育着进军
全职法师,乱,玄幻*异世大陆,连载中,一觉醒来，世界大变。熟悉的高中传授的是魔法，告诉大家要成为一名出色的魔法师。居住的都市之外游荡着袭击人类的魔物妖兽，虎视眈眈。崇尚科学的世界变成了崇尚魔法，偏偏
我是至尊,风凌天下,玄幻*东方玄幻,连载中,药不成丹只是毒，人不成神终成灰。…………天道有缺，人间不平，红尘世外，魍魉横行；哀尔良善，怒尔不争；规则之外，吾来执行。布武天下，屠尽不平；手中有刀，心中有情；
放开那个女巫,二目,奇幻*史诗奇幻,连载中,程岩原以为穿越到了欧洲中世纪，成为了一位光荣的王子。但这世界似乎跟自己想的不太一样？女巫真实存在，而且还真具有魔力？女巫种田文，将种田进行到底。
民国之文豪崛起,王梓钧,历史*清史民国,连载中,周赫煊回到民国时代，不会带兵打仗，不懂科学技术，不喜从政从商，那他还能干什么？唉，抄书抄诗混日子吧。谁知抄着抄着就成大文豪了，动荡的时局推着周赫煊不断向前。有人
道君,跃千愁,仙侠*幻想修仙,连载中,一个地球神级盗墓宗师，闯入修真界的故事……桃花源里，有歌声。山外青山，白骨山。五花马，千金裘，倚天剑。应我多情，啾啾鬼鸣，美人薄嗔。天地
大魏宫廷,贱宗首席弟子,历史*架空历史,连载中,生作大魏皇子，愿当盛世闲王。志在偎红倚翠犬马声色，胸怀家国百姓社稷安危。若兄贤，若弟明，尔为人王吾偷闲。若尔不能使国强，
美食供应商,会做菜的猫,都市*都市生活,连载中,“在遥远的东方，存在着一个数次拒绝了米其林三星评价的奇怪小店。那里价格昂贵，一碗配汤蛋炒饭288RMB，哦忘了还有一碟泡菜，但就算是这样也有很多人排队等候。那里不接受预定
重生完美时代,公子不歌,都市*都市生活,连载中,老牌程序员出身的李牧，被命运一脚踹回了2001年高考的当口，他欣喜的拍拍屁股，起身便踏上了一条注定牛X的道路。重活一回，李牧有他自己的追求，赚钱只是牛X的初级阶段，至于登上时代周刊、制
超神机械师,齐佩甲,游戏*游戏异界,连载中,韩萧，《星海》骨灰级代练，被来自东（zuo）方(zhe)的神秘力量扔进穿越大军，携带玩家面板变成NPC，回到《星海》公测之前，毅然选择难度最高的机械系。战舰列队纵横星海，星辰机甲夭矫如
顾道长生,睡觉会变白,都市*异术超能,连载中,本以为是写实的都市生活，结果一言不合就改设定！灵气复苏，道法重现，这大概是一个现代文明转变成修真文明的故事。…………本书仍然很墨迹书友群：666-4
帝霸,厌笔萧生,玄幻*东方玄幻,连载中,千万年前，李七夜栽下一株翠竹。八百万年前，李七夜养了一条鲤鱼。五百万年前，李七夜收养一个小女孩。今天，李七夜一觉醒来，翠竹修练成神灵，鲤鱼化作金龙，小女孩成为九
我的姐姐是大明星,卖报小郎君,都市*都市生活,连载中,某年某月某天，姐姐忽然说：“我要做明星。”秦泽淡定道：“老姐，你想被老爹活活打死，我不反对。”姐姐义正言辞：“秦泽，姐姐照顾你这么多年，这个锅，你必须背。”这是
神话版三国,坟土荒草,历史*秦汉三国,连载中,陈曦看着将一块数百斤巨石撇出去的士卒，无语望苍天，这真的是东汉末年？吕布单枪匹马凿穿万人部队，这怎么看都不科学。赵子龙真心龙魂附体了，一剑断山，这真的是人？典韦
